year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1985,1,0,4,3,2,0,2,1,1,0,1,2
1986,0,0,0,1,4,2,5,2,3,0,0,0
1987,0,0,0,1,3,5,9,5,2,0,0,2
1988,0,0,1,3,2,0,6,11,4,3,1,3
1989,1,1,2,1,4,4,6,4,2,1,3,0
1990,3,1,1,0,2,3,4,3,3,3,0,0
1991,0,2,1,4,6,4,8,3,2,1,0,0
1992,0,0,0,2,1,2,5,2,3,1,2,0
1993,0,0,0,3,1,6,7,9,3,1,0,0
1994,0,0,0,6,1,4,7,5,2,0,3,0
1995,0,0,0,1,2,4,8,9,1,3,1,1
1996,1,0,2,3,2,3,10,6,2,2,0,0
1997,0,1,0,4,2,6,8,4,4,1,0,0
1998,0,0,3,4,7,12,5,7,4,0,1,2
1999,0,1,0,1,4,11,15,2,1,2,1,1
2000,0,0,1,1,4,7,7,8,3,0,0,1
2001,0,2,0,3,7,7,5,7,6,3,3,2
