year,cover,date
1985,41.3,23-Feb
1986,66.8,23-Feb
1987,20,21-Feb
1988,32.7,7-Feb
1989,30.9,19-Mar
1990,32.4,14-Jan
1991,21.5,30-Jan
1992,32.8,3-Feb
1993,32.2,28-Feb
1994,82.7,14-Feb
1995,21.6,13-Feb
1996,75,7-Feb
1997,37.8,5-Feb
1998,15.1,6-Feb
1999,23,15-Jan
2000,27.2,28-Jan
2001,29.5,22-Feb
2002,12.4,7-Mar
2003,48,10-Mar
2004,36.4,5-Feb
2005,29.4,24-Jan
2006,16.1,20-Feb
2007,37.2,8-Mar
2008,33.5,21-Feb
2009,52.3,29-Jan
2010,23.5,8-Feb
2011,29.4,11-Feb
2012,16.7,21-Jan
2013,24.4,18-Feb
2014,93.1,8-Mar
2015,72.9,27-Feb
2016,26.8,14-Feb
2017,18.2,18-Jan
2018,51.3,11-Feb
2019,55.8,8-Mar
2020,17.2,21-Feb
